127.0.0.1 - - [05/Jun/2025:10:25:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jun/2025:10:25:35 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [05/Jun/2025:10:25:35 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2025:10:25:35 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:16:56 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:17:10 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:17:10 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:17:40 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:17:40 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:20:28 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:20:28 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 42075
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:20:28 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:20:28 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:20:28 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:20:31 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:20:31 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:20:31 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2025:11:20:33 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
