127.0.0.1 - - [30/Apr/2025:10:44:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:44:59 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13887
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:44:59 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:44:59 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:44:59 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:45:30 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:45:38 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 10941
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:45:39 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 10941
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:45:40 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=0 HTTP/1.1" 200 10941
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:45:41 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=0 HTTP/1.1" 200 10941
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:45:43 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 10941
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:48:01 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=0 HTTP/1.1" 200 10941
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:48:14 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:48:29 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:48:29 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 11622
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:48:30 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=documentNo&filterValue= HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:48:31 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:49:02 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:49:02 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 12220
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:49:03 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:49:25 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:49:25 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 12794
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:49:30 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:50:02 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:50:02 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 13356
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:50:06 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:50:29 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:50:29 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 13953
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:50:31 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:50:59 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:50:59 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 13928
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:51:05 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:51:31 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:51:31 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 13874
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:51:37 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 12241
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:51:52 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:52:25 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:52:26 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 13867
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:52:43 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:53:06 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:53:06 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:53:08 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:53:29 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:53:29 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 13843
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:53:31 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:53:52 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:53:52 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 13867
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:53:54 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:54:19 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:54:19 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 13918
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:54:22 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:54:44 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:54:44 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 13923
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:54:59 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 12855
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:55:22 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13923
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:55:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 13888
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:57:35 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 12855
0:0:0:0:0:0:0:1 - - [30/Apr/2025:10:57:51 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
