127.0.0.1 - - [03/Jun/2025:10:31:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:32:07 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13704
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:32:07 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:32:08 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:32:28 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:33:40 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=6 HTTP/1.1" 200 13845
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:33:40 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:33:50 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:34:14 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:34:30 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=6 HTTP/1.1" 200 13860
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:34:30 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:34:34 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Jun/2025:10:34:34 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:27:33 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:27:33 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41876
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:27:33 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:27:35 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:27:35 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:27:35 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41876
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:27:35 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:27:35 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:27:36 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:27:36 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:13 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:13 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:13 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41877
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:13 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:14 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:17 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:17 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:17 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:17 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:17 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:18 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:18 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:18 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:18 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:18 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:18 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:20 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:20 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41877
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:20 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:20 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:20 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:57 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:57 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41884
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:57 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:58 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:58 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:58 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:58 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:58 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:28:58 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:29:03 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:29:24 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:29:32 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13666
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:29:32 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:29:32 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:30:30 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:30:55 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:01 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13739
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:01 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:01 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:04 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=10 HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:04 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:10 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:10 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=9&confirmMsg=Purchase%20Order(s)%20Deleted%20Successfully! HTTP/1.1" 200 13626
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:10 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:12 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=7 HTTP/1.1" 200 13814
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:12 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:15 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=4 HTTP/1.1" 200 13539
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:15 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:15 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:22 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:22 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3&confirmMsg=Purchase%20Order(s)%20Deleted%20Successfully! HTTP/1.1" 200 13862
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:22 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:28 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=6 HTTP/1.1" 200 13774
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:28 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:34 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:34 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=5&confirmMsg=Purchase%20Order(s)%20Deleted%20Successfully! HTTP/1.1" 200 13695
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:34 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:34 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:41 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13617
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:41 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:48 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:48 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Purchase%20Order(s)%20Deleted%20Successfully! HTTP/1.1" 200 13459
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:48 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:54 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:54 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Purchase%20Order(s)%20Deleted%20Successfully! HTTP/1.1" 200 13761
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:54 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:31:54 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:32:02 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:32:02 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Purchase%20Order(s)%20Deleted%20Successfully! HTTP/1.1" 200 13497
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:32:02 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:32:07 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:33:45 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:33:50 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Purchase%20Order(s)%20Deleted%20Successfully! HTTP/1.1" 200 13576
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:33:50 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:33:50 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:33:53 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:34:24 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:37:11 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Purchase%20Order(s)%20Deleted%20Successfully! HTTP/1.1" 200 13528
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:37:11 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:37:11 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41884
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:37:11 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:37:18 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Purchase%20Order(s)%20Deleted%20Successfully! HTTP/1.1" 200 13528
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:37:18 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:37:18 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:38:46 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Purchase%20Order(s)%20Deleted%20Successfully! HTTP/1.1" 200 13528
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:38:46 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:38:46 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:57:45 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:59:19 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Purchase%20Order(s)%20Deleted%20Successfully! HTTP/1.1" 200 13528
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:59:20 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:59:20 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41871
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:59:20 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2025:18:59:20 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
