127.0.0.1 - - [02/Jun/2025:10:19:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:20:23 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13633
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:20:23 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:20:23 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 40375
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:20:26 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:20:39 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:44:37 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:45:06 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:45:06 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13503
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:45:06 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jun/2025:10:45:15 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [02/Jun/2025:11:23:46 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [02/Jun/2025:11:23:46 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13662
0:0:0:0:0:0:0:1 - - [02/Jun/2025:11:23:46 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jun/2025:11:24:23 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13662
0:0:0:0:0:0:0:1 - - [02/Jun/2025:11:24:23 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 40377
0:0:0:0:0:0:0:1 - - [02/Jun/2025:11:24:23 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [02/Jun/2025:11:24:23 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jun/2025:11:24:24 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
