127.0.0.1 - - [30/Jul/2025:10:24:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jul/2025:10:24:42 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14243
0:0:0:0:0:0:0:1 - - [30/Jul/2025:10:24:42 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2025:10:24:42 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [30/Jul/2025:10:24:42 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14243
0:0:0:0:0:0:0:1 - - [30/Jul/2025:10:24:46 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:26:44 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14243
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:27:03 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:27:38 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14520
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:27:38 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:27:39 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14520
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:27:39 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:27:39 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14520
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:27:39 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:27:39 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14520
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:27:39 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:27:39 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14520
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:27:39 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:27:40 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14520
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:27:40 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:28:21 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=documentNo&filterValue=8 HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [30/Jul/2025:11:28:21 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=documentNo&filterValue=8 HTTP/1.1" 200 2829
