127.0.0.1 - - [24/Jul/2025:10:25:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Jul/2025:10:25:52 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14650
0:0:0:0:0:0:0:1 - - [24/Jul/2025:10:25:52 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2025:10:25:52 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [24/Jul/2025:10:26:32 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14650
0:0:0:0:0:0:0:1 - - [24/Jul/2025:10:39:29 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:03:32 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:20:14 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14761
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:20:14 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:20:16 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14761
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:20:16 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:20:16 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:20:16 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43811
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:20:17 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:20:18 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14761
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:20:18 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:20:31 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:24:17 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14653
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:24:17 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:24:18 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14653
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:24:18 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:24:18 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:24:18 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43811
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:24:18 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:24:22 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14653
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:24:22 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:24:30 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:25:19 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14654
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:25:19 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:25:23 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14654
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:25:23 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:25:23 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:25:23 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43811
0:0:0:0:0:0:0:1 - - [24/Jul/2025:11:25:23 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
