127.0.0.1 - - [10/Jul/2025:10:35:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:36:02 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:36:03 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:36:03 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:38:35 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:39:16 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:39:41 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:39:56 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:40:01 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:40:14 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:40:30 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:40:33 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:12:06:41 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14718
0:0:0:0:0:0:0:1 - - [10/Jul/2025:12:06:41 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41429
0:0:0:0:0:0:0:1 - - [10/Jul/2025:12:06:41 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jul/2025:12:06:41 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9403
0:0:0:0:0:0:0:1 - - [10/Jul/2025:12:06:41 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [10/Jul/2025:12:06:44 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14718
0:0:0:0:0:0:0:1 - - [10/Jul/2025:12:06:44 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41429
0:0:0:0:0:0:0:1 - - [10/Jul/2025:12:06:44 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9403
0:0:0:0:0:0:0:1 - - [10/Jul/2025:12:06:44 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jul/2025:12:06:45 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [10/Jul/2025:12:06:48 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:12:06:59 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [10/Jul/2025:12:07:04 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:14:57:34 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14718
0:0:0:0:0:0:0:1 - - [10/Jul/2025:14:57:34 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:14:57:35 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jul/2025:14:57:35 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14718
0:0:0:0:0:0:0:1 - - [10/Jul/2025:14:57:36 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jul/2025:14:58:03 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:03:38 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:04:47 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:05:20 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:09:59 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:13:41 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:13:41 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14398
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:13:53 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:14:01 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:14:05 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:14:54 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14398
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:15:00 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=vendorAddress&filterValue=v HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:15:01 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=vendorAddress&filterValue=v HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:15:03 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14398
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:15:12 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:16:09 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:16:09 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14714
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:16:45 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:16:45 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14398
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:16:49 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:17:31 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:17:31 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14533
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:17:40 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 15497
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:17:40 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:17:53 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 15103
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:17:55 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14533
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:17:57 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 15497
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:18:13 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:18:13 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 15070
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:18:22 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:18:39 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:18:39 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14497
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:18:47 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 15120
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:18:48 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 15243
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:19:00 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 15120
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:19:06 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 15243
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:19:12 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:19:12 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14719
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:19:18 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:19:43 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:19:43 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14370
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:20:03 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 15036
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:22:31 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=4 HTTP/1.1" 200 14807
0:0:0:0:0:0:0:1 - - [10/Jul/2025:15:22:33 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 15036
