127.0.0.1 - - [07/Jul/2025:10:39:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:39:34 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15062
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:39:34 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:39:34 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:39:34 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:39:38 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15062
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:39:41 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:46:14 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14400
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:46:14 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:46:32 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=documentNo&filterValue=9 HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:46:32 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=documentNo&filterValue=9 HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:46:41 +0530] "GET /PurchaseOrder/ViewPurchaseorderData?page=3 HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:46:42 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=vendorName&filterValue=m HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:46:42 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=vendorName&filterValue=m HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:46:45 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=vendorName&filterValue=mu HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:46:45 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=vendorName&filterValue=mu HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [07/Jul/2025:10:46:45 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=vendorName&filterValue=mul HTTP/1.1" 200 3614
