127.0.0.1 - - [16/Apr/2025:10:28:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:28:45 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14851
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:28:45 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:28:45 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:49:54 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:50:40 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14851
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:50:41 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14851
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:50:41 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8517
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:50:41 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 34193
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:50:41 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:51:10 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:54:37 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14851
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:54:40 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14851
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:54:40 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8517
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:54:40 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 34193
0:0:0:0:0:0:0:1 - - [16/Apr/2025:10:54:40 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:09:26 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14851
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:09:28 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:09:51 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:10:03 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:10:26 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14851
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:10:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14851
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:10:28 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:11:13 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:11:13 +0530] "GET /PurchaseOrder/ViewQuotation?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:11:13 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:12:33 +0530] "GET /PurchaseOrder/ViewQuotation?page=1 HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:12:35 +0530] "GET /PurchaseOrder/ViewQuotation?page=1 HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:12:35 +0530] "GET /PurchaseOrder/ViewQuotation?page=1 HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:12:36 +0530] "GET /PurchaseOrder/ViewQuotation?page=1 HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:12:36 +0530] "GET /PurchaseOrder/ViewQuotation?page=1 HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:12:36 +0530] "GET /PurchaseOrder/ViewQuotation?page=1 HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:12:51 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14505
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:17:18 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:18:06 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14646
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:18:11 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 11167
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:18:14 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14646
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:18:41 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14646
0:0:0:0:0:0:0:1 - - [16/Apr/2025:11:21:19 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 1
