127.0.0.1 - - [25/Jul/2025:10:10:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:11:07 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14436
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:11:07 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:11:10 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14436
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:11:10 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:11:26 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:11:29 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14354
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:11:29 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:11:30 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14507
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:11:30 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:11:48 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:13:17 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14616
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:13:17 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43831
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:13:17 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:13:17 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:13:17 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:13:19 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14616
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:13:19 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:13:19 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:13:30 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:13:47 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=4 HTTP/1.1" 200 14585
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:13:47 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:13:47 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:14:05 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:14:08 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14617
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:14:08 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:14:13 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14463
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:14:14 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14545
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:14:14 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2025:10:14:52 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=4 HTTP/1.1" 200 14585
