127.0.0.1 - - [10/Jun/2025:10:34:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jun/2025:10:35:29 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13384
0:0:0:0:0:0:0:1 - - [10/Jun/2025:10:35:29 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:10:35:33 +0530] "GET /PurchaseOrder/ViewPurchaseorder HTTP/1.1" 200 13384
0:0:0:0:0:0:0:1 - - [10/Jun/2025:10:35:33 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [10/Jun/2025:10:36:19 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13384
0:0:0:0:0:0:0:1 - - [10/Jun/2025:10:36:25 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:08:59 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 13545
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:08:59 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:09:01 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:09:17 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 13545
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:09:17 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:09:20 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:09:51 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:09:57 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13337
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:13:18 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 13565
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:13:18 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:13:21 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 13565
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:13:21 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:13:23 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=4 HTTP/1.1" 200 12305
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:13:23 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:13:59 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 13565
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:13:59 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:14:32 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13337
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:14:33 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:27:14 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=4 HTTP/1.1" 200 12305
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:27:14 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:27:41 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:27:41 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=4&confirmMsg=Purchase%20Order%20ID-PO029%20Deleted%20Successfully HTTP/1.1" 200 11720
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:27:42 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:44:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=4&confirmMsg=Purchase%20Order%20ID-PO029%20Deleted%20Successfully HTTP/1.1" 200 11720
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:44:27 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41605
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:44:27 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:44:27 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:44:27 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:44:32 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:45:36 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=4&confirmMsg=Purchase%20Order%20ID-PO029%20Deleted%20Successfully HTTP/1.1" 200 11129
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:45:36 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:45:36 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:45:37 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 13565
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:45:38 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2025:11:45:44 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
