127.0.0.1 - - [23/May/2025:10:31:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/May/2025:10:35:56 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13367
0:0:0:0:0:0:0:1 - - [23/May/2025:10:35:56 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2025:10:35:56 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [23/May/2025:11:57:51 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2025:12:41:05 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/May/2025:12:41:24 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [23/May/2025:12:41:24 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13388
0:0:0:0:0:0:0:1 - - [23/May/2025:12:41:24 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2025:12:41:30 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/May/2025:12:41:52 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [23/May/2025:12:41:52 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13346
0:0:0:0:0:0:0:1 - - [23/May/2025:12:41:52 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2025:12:41:56 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/May/2025:12:42:04 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/May/2025:12:42:24 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [23/May/2025:12:42:24 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13382
0:0:0:0:0:0:0:1 - - [23/May/2025:12:42:24 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2025:12:42:24 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2025:12:42:42 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [23/May/2025:12:42:49 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/May/2025:12:43:21 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [23/May/2025:12:43:35 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [23/May/2025:12:43:45 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/May/2025:12:44:04 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13382
0:0:0:0:0:0:0:1 - - [23/May/2025:12:44:04 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2025:12:44:06 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/May/2025:12:44:27 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [23/May/2025:12:44:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13371
0:0:0:0:0:0:0:1 - - [23/May/2025:12:44:27 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2025:12:44:31 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/May/2025:12:44:56 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [23/May/2025:12:44:56 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13428
0:0:0:0:0:0:0:1 - - [23/May/2025:12:44:56 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2025:12:45:09 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [23/May/2025:12:45:09 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Purchase%20Order%20ID-PO036%20Deleted%20Successfully HTTP/1.1" 200 13417
0:0:0:0:0:0:0:1 - - [23/May/2025:12:45:09 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2025:12:45:19 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13417
0:0:0:0:0:0:0:1 - - [23/May/2025:12:45:25 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13417
0:0:0:0:0:0:0:1 - - [23/May/2025:12:48:20 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [23/May/2025:12:48:25 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2025:12:48:30 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
