127.0.0.1 - - [27/Jun/2025:10:24:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Jun/2025:10:25:37 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14553
0:0:0:0:0:0:0:1 - - [27/Jun/2025:10:25:37 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2025:10:25:37 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2025:10:25:38 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [27/Jun/2025:10:36:45 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:49:28 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=4 HTTP/1.1" 200 11990
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:49:28 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:49:28 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:49:31 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14162
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:49:31 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:49:37 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:49:44 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14000
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:51:01 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:51:03 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 11775
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:51:05 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14046
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:51:05 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:51:10 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:51:13 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14203
0:0:0:0:0:0:0:1 - - [27/Jun/2025:12:51:13 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 11600
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:21 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14203
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:21 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41827
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:21 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9403
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:21 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:21 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:26 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14203
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:26 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:26 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14203
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:27 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:27 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14203
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:27 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:27 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14203
0:0:0:0:0:0:0:1 - - [27/Jun/2025:13:00:27 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14203
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:27 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41828
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:27 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14203
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:27 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:27 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:28 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14203
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:28 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:28 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:28 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14203
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:28 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:28 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:28 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14203
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:28 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:29 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:30 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14203
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:30 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9403
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:30 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41828
0:0:0:0:0:0:0:1 - - [27/Jun/2025:15:49:30 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
