127.0.0.1 - - [16/Jul/2025:10:27:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Jul/2025:10:28:00 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14120
0:0:0:0:0:0:0:1 - - [16/Jul/2025:10:28:00 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2025:10:28:00 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2025:10:28:01 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [16/Jul/2025:10:28:08 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14120
0:0:0:0:0:0:0:1 - - [16/Jul/2025:10:29:44 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:23 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14120
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:23 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41469
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:23 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:23 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:23 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:25 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14120
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:25 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:25 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:28 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14120
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:28 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:28 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:28 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41469
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:28 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:35 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14115
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:35 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:35 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:37 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:49 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:49 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14110
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:49 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:49 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:49 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14110
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:57 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14140
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:57 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:57 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:59 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14110
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:19:59 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:20:01 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14140
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:20:01 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:20:01 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:20:03 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:20:26 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:20:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14088
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:20:27 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:20:27 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2025:12:20:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14088
0:0:0:0:0:0:0:1 - - [16/Jul/2025:14:39:41 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14191
0:0:0:0:0:0:0:1 - - [16/Jul/2025:14:39:41 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2025:14:39:41 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jul/2025:14:39:42 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [16/Jul/2025:14:39:49 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14191
0:0:0:0:0:0:0:1 - - [16/Jul/2025:14:39:51 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [16/Jul/2025:14:40:21 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [16/Jul/2025:14:40:21 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14264
0:0:0:0:0:0:0:1 - - [16/Jul/2025:14:40:22 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14264
0:0:0:0:0:0:0:1 - - [16/Jul/2025:14:40:29 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14242
0:0:0:0:0:0:0:1 - - [16/Jul/2025:14:40:31 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14314
0:0:0:0:0:0:0:1 - - [16/Jul/2025:14:40:50 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14264
