127.0.0.1 - - [22/Jul/2025:10:35:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jul/2025:10:35:58 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14376
0:0:0:0:0:0:0:1 - - [22/Jul/2025:10:35:58 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:10:35:58 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:10:35:58 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [22/Jul/2025:10:36:03 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14376
0:0:0:0:0:0:0:1 - - [22/Jul/2025:10:46:20 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jul/2025:10:46:47 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14220
0:0:0:0:0:0:0:1 - - [22/Jul/2025:10:46:47 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jul/2025:10:55:25 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Jul/2025:10:56:11 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:05:58 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14214
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:05:58 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:06:29 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14511
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:06:29 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:14:34 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14511
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:14:34 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 42006
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:14:34 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:14:34 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:14:34 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:14:40 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14403
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:14:40 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:14:41 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:15:10 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:15:15 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14490
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:15:15 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:15:32 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14490
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:15:32 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 42006
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:15:32 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:15:32 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jul/2025:11:15:33 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
