127.0.0.1 - - [19/Jul/2025:10:31:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Jul/2025:10:31:35 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14121
0:0:0:0:0:0:0:1 - - [19/Jul/2025:10:31:36 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2025:10:31:36 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2025:10:31:36 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2025:10:32:24 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14121
0:0:0:0:0:0:0:1 - - [19/Jul/2025:10:32:27 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:16:59 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14029
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:16:59 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:16:59 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41999
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:16:59 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:00 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:02 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14029
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:02 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:03 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14029
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:03 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:03 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:03 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41999
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:03 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:05 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14029
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:05 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:07 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14029
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:07 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:07 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:07 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41999
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:07 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:08 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14029
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:08 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:13 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 12399
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:13 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:15 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/Jul/2025:12:17:32 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 405 748
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:03:54 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 13040
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:03:54 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:03:56 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 13040
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:03:56 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:03:56 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 13040
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:03:56 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:03:59 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 13040
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:03:59 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:03:59 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43112
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:03:59 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:03:59 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:04:02 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 13040
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:04:02 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:04:02 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43112
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:04:02 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:04:02 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:04:06 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:04:15 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:04:35 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [19/Jul/2025:13:04:40 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14046
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:14:48 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 13589
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:14:48 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41999
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:14:48 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:14:48 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:17 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 13589
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:17 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:17 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41999
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:17 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:17 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:22 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 13589
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:22 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:22 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:24 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 13589
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:24 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:24 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:24 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41999
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:24 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:29 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:15:43 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 405 748
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:17:23 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14146
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:17:23 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:17:23 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:17:32 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:19:12 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 405 748
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:41:54 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14341
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:41:54 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:41:54 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:42:00 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/Jul/2025:14:42:53 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 405 748
0:0:0:0:0:0:0:1 - - [19/Jul/2025:15:45:32 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14192
0:0:0:0:0:0:0:1 - - [19/Jul/2025:15:45:32 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [19/Jul/2025:15:45:32 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41999
0:0:0:0:0:0:0:1 - - [19/Jul/2025:15:45:32 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:15:45:32 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2025:15:45:37 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14192
0:0:0:0:0:0:0:1 - - [19/Jul/2025:15:45:37 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [19/Jul/2025:15:45:37 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41999
0:0:0:0:0:0:0:1 - - [19/Jul/2025:15:45:37 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2025:15:45:37 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jul/2025:15:45:39 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/Jul/2025:15:45:57 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 405 748
