127.0.0.1 - - [04/Jun/2025:10:38:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jun/2025:10:38:12 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [04/Jun/2025:10:38:12 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 42662
0:0:0:0:0:0:0:1 - - [04/Jun/2025:10:38:13 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [04/Jun/2025:14:56:57 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:35 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:35 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 45082
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:35 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:42 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:43 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:43 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:49 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:49 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:49 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:50 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:50 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:51 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:51 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:03:51 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:03 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:03 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:03 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:04 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:04 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:22 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:22 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 45081
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:22 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:24 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:24 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:24 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 45081
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:24 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:24 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:27 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:04:27 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:05:10 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:05:10 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:05:10 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 45080
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:05:11 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:05:11 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:05:12 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13491
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:05:12 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:05:12 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
