127.0.0.1 - - [21/Aug/2025:10:23:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Aug/2025:10:24:07 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14819
0:0:0:0:0:0:0:1 - - [21/Aug/2025:10:24:07 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:10:24:10 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [21/Aug/2025:10:24:21 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14819
0:0:0:0:0:0:0:1 - - [21/Aug/2025:10:24:25 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Aug/2025:11:31:11 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14990
0:0:0:0:0:0:0:1 - - [21/Aug/2025:11:31:15 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/Aug/2025:11:31:15 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 15128
0:0:0:0:0:0:0:1 - - [21/Aug/2025:12:05:26 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 15128
0:0:0:0:0:0:0:1 - - [21/Aug/2025:12:34:26 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14963
0:0:0:0:0:0:0:1 - - [21/Aug/2025:12:34:26 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9609
0:0:0:0:0:0:0:1 - - [21/Aug/2025:12:34:26 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43696
0:0:0:0:0:0:0:1 - - [21/Aug/2025:17:52:03 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14963
0:0:0:0:0:0:0:1 - - [21/Aug/2025:17:52:03 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:17:52:03 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2025:17:52:13 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 222
