127.0.0.1 - - [31/Aug/2025:17:37:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Aug/2025:17:56:01 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Aug/2025:17:56:02 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15007
0:0:0:0:0:0:0:1 - - [31/Aug/2025:17:56:26 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15007
0:0:0:0:0:0:0:1 - - [31/Aug/2025:17:56:26 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Aug/2025:17:56:26 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2025:17:56:26 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15007
0:0:0:0:0:0:0:1 - - [31/Aug/2025:17:56:26 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Aug/2025:18:12:29 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15007
0:0:0:0:0:0:0:1 - - [31/Aug/2025:18:12:29 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Aug/2025:18:12:31 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15007
0:0:0:0:0:0:0:1 - - [31/Aug/2025:18:12:31 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Aug/2025:18:12:32 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15007
0:0:0:0:0:0:0:1 - - [31/Aug/2025:18:12:32 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Aug/2025:18:12:34 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15007
0:0:0:0:0:0:0:1 - - [31/Aug/2025:18:12:34 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43181
