127.0.0.1 - - [29/Aug/2025:10:24:47 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Aug/2025:10:25:13 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15004
0:0:0:0:0:0:0:1 - - [29/Aug/2025:10:25:13 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2025:10:25:13 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [29/Aug/2025:10:25:15 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:06:16 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:55 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:55 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 45352
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:55 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9609
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:55 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:55 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:56 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:56 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:58 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:58 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 45352
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:58 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9609
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:58 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:58 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:59 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:47:59 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:48:01 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:48:25 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:48:25 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9609
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:48:25 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 45352
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:48:25 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:48:25 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [29/Aug/2025:11:48:26 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15046
