127.0.0.1 - - [27/Aug/2025:10:26:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Aug/2025:10:27:08 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15003
0:0:0:0:0:0:0:1 - - [27/Aug/2025:10:27:08 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43696
0:0:0:0:0:0:0:1 - - [27/Aug/2025:10:27:08 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [27/Aug/2025:11:28:46 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15003
0:0:0:0:0:0:0:1 - - [27/Aug/2025:11:28:48 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:00:43 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15003
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:00:43 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15003
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:00:43 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15003
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:00:43 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15003
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:00:44 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15003
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:00:44 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15003
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:00:44 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15003
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:00:44 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15003
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:00:50 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:00:54 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:00:54 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:00:59 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:01:01 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:01:09 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:01:09 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:01:09 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:01:09 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:01:12 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:01:12 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:01:12 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9609
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:01:12 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43738
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:01:12 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:01:46 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:02:01 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:03 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:03 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9609
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:03 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43894
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:03 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:03 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:04 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:04 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:04 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:04 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:04 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:05 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:05 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:05 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:05 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:05 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:05 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:05 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:05 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:05 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:13 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:18 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:18 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:18 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:18 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:18 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:21 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:21 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9609
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:21 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43894
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:21 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:21 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:28:31 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:30:10 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:30:10 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9609
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:30:10 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43936
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:30:10 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:30:10 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:30:13 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:30:13 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9609
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:30:13 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 43936
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:30:13 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2025:12:30:13 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
