127.0.0.1 - - [18/Jul/2025:10:26:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Jul/2025:10:36:11 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14020
0:0:0:0:0:0:0:1 - - [18/Jul/2025:10:36:23 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14020
0:0:0:0:0:0:0:1 - - [18/Jul/2025:10:36:23 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2025:10:36:23 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2025:10:36:25 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [18/Jul/2025:10:36:37 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14020
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:32:01 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:32:06 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14020
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:32:06 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:32:06 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41990
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:32:06 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:32:06 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:32:07 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14020
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:32:07 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:32:07 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:11 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14020
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:11 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41999
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:11 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:14 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14020
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:14 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:14 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41999
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:14 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:14 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:16 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14020
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:16 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9404
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:16 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 41999
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:16 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:17 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:22 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14020
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:22 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:33:22 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
