127.0.0.1 - - [06/May/2025:10:27:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/May/2025:10:29:22 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14503
0:0:0:0:0:0:0:1 - - [06/May/2025:10:29:22 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:10:29:22 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:10:29:23 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [06/May/2025:10:39:11 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/May/2025:10:39:32 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/May/2025:10:39:32 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 14347
0:0:0:0:0:0:0:1 - - [06/May/2025:10:39:34 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/May/2025:10:39:54 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/May/2025:10:39:54 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 14031
0:0:0:0:0:0:0:1 - - [06/May/2025:10:39:55 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/May/2025:10:40:15 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/May/2025:10:40:15 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 14035
0:0:0:0:0:0:0:1 - - [06/May/2025:10:40:17 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/May/2025:10:40:38 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/May/2025:10:40:38 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 14050
0:0:0:0:0:0:0:1 - - [06/May/2025:10:40:40 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/May/2025:10:41:17 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/May/2025:10:41:17 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 14009
0:0:0:0:0:0:0:1 - - [06/May/2025:10:41:20 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14524
0:0:0:0:0:0:0:1 - - [06/May/2025:10:41:22 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14524
0:0:0:0:0:0:0:1 - - [06/May/2025:10:41:24 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14009
0:0:0:0:0:0:0:1 - - [06/May/2025:10:41:26 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/May/2025:10:41:47 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/May/2025:10:41:47 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 14093
0:0:0:0:0:0:0:1 - - [06/May/2025:10:41:49 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/May/2025:10:42:07 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/May/2025:10:42:07 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 14109
0:0:0:0:0:0:0:1 - - [06/May/2025:10:42:12 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/May/2025:10:42:33 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/May/2025:10:42:33 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 14148
0:0:0:0:0:0:0:1 - - [06/May/2025:10:42:37 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 13409
0:0:0:0:0:0:0:1 - - [06/May/2025:10:42:39 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14056
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14056
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:29 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14056
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:30 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14056
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:30 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14056
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:34 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14056
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:34 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14056
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:34 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14056
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:36 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14056
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:36 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:36 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 40083
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:36 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:47 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14056
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:47 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:48 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14056
0:0:0:0:0:0:0:1 - - [06/May/2025:11:08:59 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/May/2025:11:09:22 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14040
0:0:0:0:0:0:0:1 - - [06/May/2025:11:09:22 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:11:10:52 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/May/2025:11:11:38 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14325
0:0:0:0:0:0:0:1 - - [06/May/2025:11:11:38 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:11:11:52 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/May/2025:11:14:02 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14480
0:0:0:0:0:0:0:1 - - [06/May/2025:11:14:02 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 40081
0:0:0:0:0:0:0:1 - - [06/May/2025:11:14:04 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14480
0:0:0:0:0:0:0:1 - - [06/May/2025:11:14:04 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:11:14:06 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14480
0:0:0:0:0:0:0:1 - - [06/May/2025:11:14:06 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 40081
0:0:0:0:0:0:0:1 - - [06/May/2025:11:14:06 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 8626
