127.0.0.1 - - [09/Jun/2025:10:30:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Jun/2025:10:30:30 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13649
0:0:0:0:0:0:0:1 - - [09/Jun/2025:10:30:31 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13649
0:0:0:0:0:0:0:1 - - [09/Jun/2025:10:30:31 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2025:10:30:32 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Jun/2025:10:30:35 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13649
0:0:0:0:0:0:0:1 - - [09/Jun/2025:10:30:38 +0530] "GET /PurchaseOrder/ViewPurchaseorder HTTP/1.1" 500 1114
0:0:0:0:0:0:0:1 - - [09/Jun/2025:10:30:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Jun/2025:10:30:46 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jun/2025:11:18:27 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [09/Jun/2025:11:18:59 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [09/Jun/2025:11:19:08 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13527
0:0:0:0:0:0:0:1 - - [09/Jun/2025:11:37:31 +0530] "GET /PurchaseOrder/ViewPurchaseorder HTTP/1.1" 500 3923
0:0:0:0:0:0:0:1 - - [09/Jun/2025:11:37:32 +0530] "GET /PurchaseOrder/ViewPurchaseorder HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Jun/2025:11:37:33 +0530] "GET /PurchaseOrder/ViewPurchaseorder HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2025:11:37:33 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13527
0:0:0:0:0:0:0:1 - - [09/Jun/2025:11:37:34 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13527
0:0:0:0:0:0:0:1 - - [09/Jun/2025:11:37:40 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13527
0:0:0:0:0:0:0:1 - - [09/Jun/2025:11:37:40 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
