127.0.0.1 - - [29/Apr/2025:10:30:21 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Apr/2025:10:39:13 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14412
0:0:0:0:0:0:0:1 - - [29/Apr/2025:10:39:14 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14412
0:0:0:0:0:0:0:1 - - [29/Apr/2025:10:39:14 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:10:39:14 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:10:39:14 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [29/Apr/2025:10:42:04 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Apr/2025:10:42:17 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:10:42:23 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 10958
0:0:0:0:0:0:0:1 - - [29/Apr/2025:10:42:25 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 12796
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:10:04 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:12:00 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 10937
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:12:02 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 10937
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:12:04 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 10937
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:12:23 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:13:27 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:13:28 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 11815
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:13:33 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:18:41 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:18:41 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 12646
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:19:44 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:19:44 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 12786
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:20:00 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:20:01 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 12786
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:20:17 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:20:17 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 12786
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:25:21 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=documentNo&filterValue=m HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:25:24 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=vendorName&filterValue=m HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:25:29 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=vendorName&filterValue= HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:25:49 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=vendorName&filterValue=mu HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:25:55 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=vendorName&filterValue= HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:38:59 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:40:26 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:40:26 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 13736
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:40:46 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:40:46 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 13731
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:41:05 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:41:49 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:41:49 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 14388
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:42:01 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:43:05 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:43:05 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 15400
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:43:08 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:44:15 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:44:15 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 15659
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:44:49 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:44:49 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15649
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:45:08 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=vendorName&filterValue= HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:45:15 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=vendorName&filterValue=m HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:45:27 +0530] "GET /PurchaseOrder/searchPurchaseorder HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [29/Apr/2025:11:45:27 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15649
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:22:30 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 11836
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:22:30 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:22:30 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:22:33 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 15649
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:22:36 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:24:46 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:24:47 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 15991
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:24:53 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:26:02 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:26:02 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 16122
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:26:09 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:27:16 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:27:16 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 16528
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:27:22 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:28:31 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:28:31 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1&confirmMsg=Added%20Successfully HTTP/1.1" 200 16533
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:32:30 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:32:30 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 16523
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:32:51 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:32:51 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 16518
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:33:05 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:33:06 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 16514
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:33:25 +0530] "POST /PurchaseOrder/UpdatePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:33:25 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 16504
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:33:31 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 15421
0:0:0:0:0:0:0:1 - - [29/Apr/2025:14:33:47 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 16504
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:57:36 +0530] "GET /PurchaseOrder/searchPurchaseorder?filterType=documentNo&filterValue=mu HTTP/1.1" 200 12
