127.0.0.1 - - [14/Jul/2025:10:20:38 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:22:09 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14110
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:22:09 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:22:09 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:22:09 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:24:35 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14110
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:24:39 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:30:07 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14155
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:30:10 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14480
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:31:20 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14155
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:31:21 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14110
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:31:30 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14155
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:31:32 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14480
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:31:38 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14155
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:31:39 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14110
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:32:31 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14155
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:32:36 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:32:36 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14195
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:32:40 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:32:58 +0530] "POST /PurchaseOrder/InsertPurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:32:58 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 14110
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:33:31 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:34:08 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14179
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:34:10 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 14480
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:34:23 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14179
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:34:29 +0530] "POST /PurchaseOrder/DeletePurchaseorder HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:34:29 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=2 HTTP/1.1" 200 14195
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:34:31 +0530] "GET /PurchaseOrder/GeneratePurchaseorderDocumentNo HTTP/1.1" 200 5
